Tree,Campaign,Year,Position,Age,Ring,C.treat,Photo,gs,Ci,CO2S.mean,Tleaf,Vcmax,Jmax,LMA,Leaf N,GapFr,Openness,log(Open)
116,AMay_2014,2014,lower,old,1,+C,15.7,0.179,238,391.78,24.18,73.41765521,132.2330982,146.8558164,1.666591644,27.31,30.06,1.477988976
122,AMay_2014,2014,lower,old,1,+C,8.76,0.0915,229.5,395.76,21.885,42.29245348,77.09751716,127.7385695,1.66,31.6375,34.43,1.536937023
202,AMay_2014,2014,lower,old,2,0C,16.3,0.1805,231,391.86,22.445,73.08923928,129.2542104,158.6653661,1.86,32.985,36.705,1.564725228
209,AMay_2014,2014,lower,old,2,0C,24.1,0.533,302,392.65,23.97,86.46798541,147.9641266,143.8959322,1.824746132,17.93,20.295,1.307389056
319,AMay_2014,2014,lower,old,3,0C,17.7,0.364,305,397.16,22.17,59.92397893,113.0724839,169.2374337,1.500382543,27.265,30.48,1.484014963
320,AMay_2014,2014,lower,old,3,0C,15.85,0.212,259.5,394.455,22.63,68.13669915,121.2281719,175.3549849,1.659880996,34.955,38.075,1.580639912
408,AMay_2014,2014,lower,old,4,+C,18.65,0.2465,256.5,392.035,21.99,74.47359431,133.8084237,132.045201,2.126281977,33.88,37.46,1.573567773
422,AMay_2014,2014,lower,old,4,+C,20.35,0.3095,276,399.285,21.84,72.91289068,136.9452376,159.2719172,1.899353743,21.6,24.22,1.384174139
501,AMay_2014,2014,lower,old,5,+C,16.45,0.2065,249.5,390.76,21.895,66.31649176,121.0447435,156.5363696,1.437301159,35.73,39.325,1.594668731
515,AMay_2014,2014,lower,old,5,+C,16.7,0.211,250.5,390.805,22.18,71.89666001,124.5714264,123.5320378,1.75490737,17.31,19.78,1.296226287
603,AMay_2014,2014,lower,old,6,0C,17.5,0.291,277.5,391.965,23.375,66.75525968,111.349649,127.6811235,1.713997424,30.005,32.975,1.518184804
607,AMay_2014,2014,lower,old,6,0C,15.3,0.498,330,391.57,22.35,50.3092764,95.56909066,173.6681765,1.737640381,18.375,21.01,1.322426052
116,BOct_2014,2014,lower,old,1,+C,16.65,0.179,227,393.8,23.935,80.27484301,135.8326037,152.4650306,1.87,39.6,43.05,1.633973156
122,BOct_2014,2014,lower,old,1,+C,11.4,0.138,251,395.12,24.06,42.21452318,73.41770499,140.3351418,1.65,40.02,43.27,1.636186895
208,BOct_2014,2014,lower,old,2,0C,15.6,0.152,221,399.98,24.72,80.39595752,132.2893596,131.728356,1.94,23.95,26.82,1.428458774
209,BOct_2014,2014,lower,old,2,0C,10.2,0.376,346,401.13,24.34,43.2059433,80.62040575,169.9489232,1.49,32.115,35.515,1.550411819
319,BOct_2014,2014,lower,old,3,0C,16.1,0.241,279,399.87,24.97,71.81126149,122.113334,173.7624068,1.23,30.55,34.25,1.534660576
321,BOct_2014,2014,lower,old,3,0C,15.6,0.242,279,395.31,24.66,65.96279407,111.5550423,155.7744303,1.72,45.14,48.92,1.689486448
408,BOct_2014,2014,lower,old,4,+C,12.8,0.136,222,392.25,23.9,64.99519801,99.38390871,142.8652935,1.52,39.735,44.01,1.643551369
422,BOct_2014,2014,lower,old,4,+C,15.7,0.18,236.5,397.22,23.91,70.59273537,120.1369319,176.2990625,1.605,33.91,37.085,1.569198283
501,BOct_2014,2014,lower,old,5,+C,12.3,0.14,245,395.95,23.9,58.99885947,112.886531,161.005108,1.62,45.11,49.57,1.695218919
614,BOct_2014,2014,lower,old,6,0C,10.4,0.172,287,396.58,24.93,50.81682732,88.98605331,185.6477964,1.24,43.42,46.29,1.665487181
116,CFeb_2015,2015,lower,new,1,+C,19.5,0.409,301.5,394.68,27.92,98.06055231,144.134258,173.5198292,1.799212098,29.7,32.35,1.509874285
117,CFeb_2015,2015,lower,new,1,+C,5.47,0.0663,258,401.84,27.88,34.59289248,57.86207728,206.3443842,1.524065971,,,
122,CFeb_2015,2015,lower,new,1,+C,6.71,0.0727,239,399.28,27.83,52.33464412,72.86926312,178.8573347,1.709463835,38.19,41.52,1.618257345
208,CFeb_2015,2015,lower,new,2,0C,16,0.238,271,395.02,28.04,89.31292991,135.1719219,160.772634,1.815778136,30.69,34.21,1.534153074
209,CFeb_2015,2015,lower,new,2,0C,16.7,0.279,279,391.54,27.94,89.64561025,119.0150367,180.9039884,1.870926738,19.91,22.21,1.346548559
301,CFeb_2015,2015,lower,new,3,0C,17.6,0.203,241,397.62,27.94,105.6076191,127.5051158,,,45.94,49.4,1.693726949
302,CFeb_2015,2015,lower,new,3,0C,14.8,0.273,288,390.8,28.12,76.91400019,101.8189825,201.8052335,1.45123589,44.74,48.05,1.681693392
320,CFeb_2015,2015,lower,new,3,0C,21.9,0.282,247,391.56,27.97,124.1211252,147.0226831,129.0460637,,38.71,42.165,1.624952105
408,CFeb_2015,2015,lower,new,4,+C,15.5,0.256,287,400.73,27.95,82.11826146,122.0115795,170.5503074,1.910014868,39.41666667,43.69666667,1.640448309
422,CFeb_2015,2015,lower,new,4,+C,16.6,0.2285,261,394.905,28.08,96.86256604,136.7112336,197.4695257,1.783929765,34.51,37.475,1.573741642
502,CFeb_2015,2015,lower,new,5,+C,9.29,0.142,279,397.73,28.08,55.16538175,90.69461692,183.1313609,1.35281527,38.35,42.13,1.624591459
515,CFeb_2015,2015,lower,new,5,+C,16.55,0.2995,293,396.955,27.915,87.41790418,128.4535521,156.4554806,1.533778667,34.54,38.27,1.582858462
116,DFeb_2016,2016,lower,new,1,+C,22.4,0.34,271,395.03,26.41,103.6697373,141.0523982,116.0971268,,,,
122,DFeb_2016,2016,lower,new,1,+C,13.7,0.151,232,397.51,26.05,72.69117089,91.25875971,148.2298368,,,,
202,DFeb_2016,2016,lower,new,2,0C,21.25,0.3395,274,393.78,27.005,98.98381053,130.1029452,175.4480613,,,,
209,DFeb_2016,2016,lower,new,2,0C,17.8,0.278,276,392.64,26.31,82.90602162,121.8494858,141.458985,,,,
301,DFeb_2016,2016,lower,new,3,0C,23.5,0.2935,247,392.62,27.62,133.9218085,170.0908361,140.5306663,,,,
