tree,ring,co2grow,canopy,co2meas,position,id,Photo,gs,Ci,Tleaf,LMA,N-perc,leafw,epi_up,epi_low,stomdenad,stomdenab,stomlengthad,stomlengthab,spi ad,spi ab,meso.mean,sum.mean,leafw.mean.y,epiupper.mean,epilower.mean,mesolay.mean,meso.mean.y,length.par1.mean,sumlength.par.mean,meanlength.par.mean,nrows,gmes,mean_gm.Eglob,mean_gs,mean_ci,mean_cc,drawdown,Vcmax,Jmax,Rd,Vcmax_SE,Jmax_SE,Rd_SE,Vcmax25,Jmax25,Rd25,Vcmax25-SE,Jmax25-SE,Rd25-SE
116,R1,elev,lower,amb,lower,116_lower,14.42,0.18,247,25.43,152.4650306,1.87,282.2333333,15.78138889,13.87011111,246.1542477,131.7659433,23.785,26.585,5.863134532,3.50040994,253.8166667,283.4833333,282.8076667,15.78138889,13.87011111,7.125,252.4705,39.83016667,103.1650375,34.38834583,7,0.114,0.095,0.183857143,247,121,126,,,,,,,,,,,,
116,R1,elev,lower,elev,lower,116_lower,17.14,0.13,295,25.7,152.4650306,1.87,282.2333333,15.78138889,13.87011111,246.1542477,131.7659433,23.785,26.585,5.863134532,3.50040994,253.8166667,283.4833333,282.8076667,15.78138889,13.87011111,7.125,252.4705,39.83016667,103.1650375,34.38834583,7,0.105,0.091,0.126571429,295,132,163,74.747,102.561,1.132,6.186,3.804,0.663,73.298,103.52,1.277,6.056,3.869,0.674
116,R1,elev,upper,amb,upper,116_upper,9.66,0.11,247,24.97,219.906559,1.42,304.2142857,23.15324445,14.43819286,175.1736111,194.0972222,30.83,30.505,5.469699653,5.833069444,273.2285714,305.7571429,306.2553125,21.71885556,14.04790972,7.5,270.9149405,36.23308334,95.34446945,31.78148982,7,0.278,0.124,0.113285714,247,212,35,,,,,,,,,,,,
116,R1,elev,upper,elev,upper,116_upper,11.41,0.09,317,25.02,219.906559,1.42,304.2142857,23.15324445,14.43819286,175.1736111,194.0972222,30.83,30.505,5.469699653,5.833069444,273.2285714,305.7571429,306.2553125,21.71885556,14.04790972,7.5,270.9149405,36.23308334,95.34446945,31.78148982,7,0.164,0.11,0.085428571,317,247,69,86.924,130.799,0.76,12.448,8.204,1.405,87.099,130.157,0.706,13.26,8.645,1.482
117,R1,elev,lower,amb,lower,117_lower,15.51,0.24,274,27.26,179.9955064,1.73,290.6,22.62022222,17.97888889,224.0740741,209.2592593,25.92,27.5,5.808000001,5.754629631,248.4666667,289,290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,82.97861438,27.65953813,6,0.311,0.147,0.241,274,224,50,,,,,,,,,,,,
117,R1,elev,lower,elev,lower,117_lower,20.78,0.24,380,28.33,179.9955064,1.73,290.6,22.62022222,17.97888889,224.0740741,209.2592593,25.92,27.5,5.808000001,5.754629631,248.4666667,289,290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,82.97861438,27.65953813,7,0.264,0.164,0.238571429,380,301,79,102.309,136.807,2.665,4.409,2.905,0.473,75.098,115.82,2.601,3.533,2.671,0.512
117,R1,elev,upper,amb,upper,117_upper,12.06,0.14,241,25.16,229.4836256,1.56,323,24.69844444,18.15355555,240.7407407,125,29.31,32.7,7.05611111,4.0875,273.2,316.1,323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,84.32527778,28.10842593,7,0.223,0.138,0.144,241,187,54,,,,,,,,,,,,
117,R1,elev,upper,elev,upper,117_upper,17.6,0.16,348,25.11,229.4836256,1.56,323,24.69844444,18.15355555,240.7407407,125,29.31,32.7,7.05611111,4.0875,273.2,316.1,323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,84.32527778,28.10842593,6,0.247,0.164,0.156666667,348,277,71,66.85,102.763,1.947,6.87,5.318,0.943,68.015,102.411,2.042,8.236,5.876,1.064
202,R2,amb,lower,amb,lower,202_lower,10.01,0.09,213,25.07,146.6166953,1.715,291.4333333,21.21477778,16.75872222,213.8888889,172.2222222,28.53,33.15,6.10225,5.709166666,251.7333333,289.7333333,286.8233,21.21477778,16.75872223,6.833333334,253.0057024,36.591,101.9286833,33.97622778,7,0.249,0.136,0.094428571,213,172,40,49.2,87.445,1.421,1.696,1.637,0.287,50.257,88.641,1.638,1.638,1.552,0.274
202,R2,amb,lower,elev,lower,202_lower,10.06,0.06,263,25.21,146.6166953,1.715,291.4333333,21.21477778,16.75872222,213.8888889,172.2222222,28.53,33.15,6.10225,5.709166666,251.7333333,289.7333333,286.8233,21.21477778,16.75872223,6.833333334,253.0057024,36.591,101.9286833,33.97622778,4,0.254,0.128,0.05975,263,223,40,,,,,,,,,,,,
202,R2,amb,upper,amb,upper,202_upper,20.55,0.3,266,25.24,157.8058991,1.95,281.3333333,21.05988889,19.362,289.0625,225,24.77,26.48,7.160078125,5.958,256.25,291.7333333,281.01175,18.96916667,19.9015,7,256.27875,38.15916667,94.34769583,31.44923194,7,0.143,0.122,0.300714286,266,122,144,,,,,,,,,,,,
202,R2,amb,upper,elev,upper,202_upper,25.5,0.32,391,25.31,157.8058991,1.95,281.3333333,21.05988889,19.362,289.0625,225,24.77,26.48,7.160078125,5.958,256.25,291.7333333,281.01175,18.96916667,19.9015,7,256.27875,38.15916667,94.34769583,31.44923194,7,0.163,0.139,0.319,391,234,157,,,,,,,,,,,,
208,R2,amb,lower,amb,lower,208_lower,12.26,0.11,209,25.38,163.5888151,1.79,264.9666667,22.50911111,17.96444444,276.3888889,168.0555556,25.82,31.99,7.136361111,5.376097224,227.6666667,268.1333333,264.9712222,22.50911111,17.96444444,7.888888889,227.6653333,34.92722222,90.12686666,30.04228889,6,0.147,0.101,0.114333333,209,126,83,102.201,149.721,2.054,6.671,4.468,0.716,84.917,137.128,2.031,4.575,3.37,0.591
208,R2,amb,lower,elev,lower,208_lower,19.91,0.14,300,26.01,163.5888151,1.79,264.9666667,22.50911111,17.96444444,276.3888889,168.0555556,25.82,31.99,7.136361111,5.376097224,227.6666667,268.1333333,264.9712222,22.50911111,17.96444444,7.888888889,227.6653333,34.92722222,90.12686666,30.04228889,4,0.12,0.099,0.143,300,134,166,,,,,,,,,,,,
208,R2,amb,upper,amb,upper,208_upper,12.34,0.12,209,25.13,205.3565934,1.75,319.9333333,19.89844444,13.77833333,215.625,135.9375,29.75,32.31,6.41484375,4.392140625,285.8,319.4666667,319.9456667,19.89844444,13.77833333,8,285.7998889,35.33971429,94.28157143,31.42719048,6,0.144,0.103,0.115166667,209,123,86,87.912,139.137,2.617,3.916,2.803,0.466,86.678,138.868,2.572,3.303,2.379,0.397
208,R2,amb,upper,elev,upper,208_upper,18.53,0.14,308,25.12,205.3565934,1.75,319.9333333,19.89844444,13.77833333,215.625,135.9375,29.75,32.31,6.41484375,4.392140625,285.8,319.4666667,319.9456667,19.89844444,13.77833333,8,285.7998889,35.33971429,94.28157143,31.42719048,6,0.16,0.125,0.137833333,308,192,116,,,,,,,,,,,,
209,R2,amb,upper,amb,upper,209_upper,14.01,0.18,258,27.39,172.7774987,1.89,295.1,25.25577778,18.31833333,168.75,140.625,35.68,36.09,6.021,5.07515625,257.0666667,300.6666667,295.1224444,25.25577778,18.31833333,7,257.0828889,37.86383333,93.82646666,31.27548889,6,0.151,0.108,0.176166667,258,165,93,86.989,126.825,0.174,9.073,6.987,1.107,59.65,105.628,0.101,6.186,5.835,1.103
209,R2,amb,upper,elev,upper,209_upper,18.55,0.18,361,28.53,172.7774987,1.89,295.1,25.25577778,18.31833333,168.75,140.625,35.68,36.09,6.021,5.07515625,257.0666667,300.6666667,295.1224444,25.25577778,18.31833333,7,257.0828889,37.86383333,93.82646666,31.27548889,7,0.28,0.173,0.177571429,361,295,66,,,,,,,,,,,,
301,R3,amb,lower,amb,lower,301_lower,13.22,0.14,237,24.91,158.6164129,1.47,303.5,21.33955556,20.92277778,147.2222222,136.1111111,35.39,35.26,5.210194444,4.799277777,256.5666667,298.8666667,303.4855556,21.33955556,20.92277778,8,256.5706667,25.90611111,75.84864814,25.28288271,5,0.403,0.19,0.1384,237,205,33,77.05,109.443,2.551,7.367,4.689,0.815,75.077,105.43,2.644,6.441,4.006,0.729
301,R3,amb,lower,elev,lower,301_lower,14.67,0.09,257,25.21,158.6164129,1.47,303.5,21.33955556,20.92277778,147.2222222,136.1111111,35.39,35.26,5.210194444,4.799277777,256.5666667,298.8666667,303.4855556,21.33955556,20.92277778,8,256.5706667,25.90611111,75.84864814,25.28288271,6,0.323,0.198,0.086666667,257,212,45,,,,,,,,,,,,
301,R3,amb,upper,amb,upper,301_upper,16.89,0.19,240,25.32,153.1148921,1.67,277.525,20.55137778,16.71266667,188.8888889,156.9444444,31.44,33.19,5.938666667,5.20898611,236.6,273.7,273.2291111,20.55033333,16.71266667,7,231.5961111,28.78888889,77.99391112,25.99797037,6,0.187,0.145,0.188333333,240,150,90,86.492,111.32,0.825,18.229,9.553,1.638,87.381,111.706,0.901,17.505,9.157,1.568
301,R3,amb,upper,elev,upper,301_upper,21.05,0.17,321,24.86,153.1148921,1.67,277.525,20.55137778,16.71266667,188.8888889,156.9444444,31.44,33.19,5.938666667,5.20898611,236.6,273.7,273.2291111,20.55033333,16.71266667,7,231.5961111,28.78888889,77.99391112,25.99797037,6,0.425,0.267,0.166,321,271,50,,,,,,,,,,,,
