TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
10:22:20,22/10/2014 10:22,3,-291.4638,-3.198926,-18.27447,f2
10:22:40,22/10/2014 10:22,4,308.2214,3.343319,-29.74681,f2
10:23:40,22/10/2014 10:23,21,8.787153,0.09194058,-64.06995,f2
10:24:00,22/10/2014 10:24,22,482.0745,5.323784,-12.17936,f2
10:24:20,22/10/2014 10:24,3,775.1053,8.349449,-36.46596,f2
10:24:40,22/10/2014 10:24,4,323.1974,3.482916,-36.07082,f2
10:25:40,22/10/2014 10:25,21,38.56479,0.4223759,-20.88095,f2
10:26:00,22/10/2014 10:26,22,458.2779,5.065367,-11.31806,f2
10:26:20,22/10/2014 10:26,3,774.762,8.343522,-36.72319,f2
10:26:40,22/10/2014 10:26,4,322.9143,3.479665,-36.12624,f2
10:27:40,22/10/2014 10:27,21,253.5787,2.813227,-7.656167,f2
10:28:00,22/10/2014 10:28,22,490.9229,5.420135,-12.43124,f2
10:28:20,22/10/2014 10:28,3,774.0269,8.338226,-36.42046,f2
10:28:40,22/10/2014 10:28,4,322.7766,3.477021,-36.44804,f2
10:29:40,22/10/2014 10:29,21,413.9786,4.601182,-5.827899,f2
10:30:00,22/10/2014 10:30,22,507.1441,5.597053,-12.79415,f2
10:30:20,22/10/2014 10:30,3,774.0505,8.337732,-36.50689,f2
10:30:40,22/10/2014 10:30,4,322.6875,3.476591,-36.30096,f2
10:31:40,22/10/2014 10:31,21,411.0034,4.570651,-5.274399,f2
10:32:00,22/10/2014 10:32,22,415.411,4.617856,-5.664052,f2
10:32:20,22/10/2014 10:32,3,773.979,8.341414,-35.99094,f2
10:32:40,22/10/2014 10:32,4,322.9485,3.483872,-35.06064,f2
10:33:40,22/10/2014 10:33,21,411.5439,4.574087,-5.833937,f2
10:34:00,22/10/2014 10:34,22,413.8676,4.598357,-6.171308,f2
10:34:20,22/10/2014 10:34,3,773.0736,8.327644,-36.45642,f2
10:34:40,22/10/2014 10:34,4,322.2539,3.472276,-36.202,f2
10:35:40,22/10/2014 10:35,21,410.1064,4.559206,-5.596501,f2
10:36:00,22/10/2014 10:36,22,412.515,4.584428,-5.933479,f2
10:36:20,22/10/2014 10:36,3,772.9394,8.329351,-36.09177,f2
10:36:40,22/10/2014 10:36,4,322.4007,3.474092,-36.1369,f2
10:37:40,22/10/2014 10:37,21,410.8076,4.566388,-5.730062,f2
